省市別,縣市別,選區別,鄉鎮市區,村里別,投開票所,候選人號次,得票數,得票率,當選註記
63,000,01,010,0002,0573,1,36,4.21, 
63,000,01,010,0002,0573,2,391,45.68, 
63,000,01,010,0002,0573,3,429,50.12,*
63,000,01,010,0002,0574,1,46,5.31, 
63,000,01,010,0002,0574,2,382,44.11, 
63,000,01,010,0002,0574,3,438,50.58,*
63,000,01,010,0002,0575,1,48,5.78, 
63,000,01,010,0002,0575,2,393,47.35, 
63,000,01,010,0002,0575,3,389,46.87,*
63,000,01,010,0002,0576,1,43,4.81, 
63,000,01,010,0002,0576,2,389,43.51, 
63,000,01,010,0002,0576,3,462,51.68,*
63,000,01,010,0003,0577,1,38,3.75, 
63,000,01,010,0003,0577,2,431,42.5, 
63,000,01,010,0003,0577,3,545,53.75,*
63,000,01,010,0003,0578,1,35,3.35, 
63,000,01,010,0003,0578,2,501,47.94, 
63,000,01,010,0003,0578,3,509,48.71,*
63,000,01,010,0003,0579,1,42,4.29, 
63,000,01,010,0003,0579,2,406,41.43, 
63,000,01,010,0003,0579,3,532,54.29,*
63,000,01,010,0003,0580,1,28,2.89, 
63,000,01,010,0003,0580,2,397,40.97, 
63,000,01,010,0003,0580,3,544,56.14,*
63,000,01,010,0003,0581,1,31,3.1, 
63,000,01,010,0003,0581,2,438,43.84, 
63,000,01,010,0003,0581,3,530,53.05,*
63,000,01,010,0004,0582,1,46,4.77, 
63,000,01,010,0004,0582,2,387,40.15, 
63,000,01,010,0004,0582,3,531,55.08,*
63,000,01,010,0004,0583,1,35,3.83, 
63,000,01,010,0004,0583,2,456,49.89, 
63,000,01,010,0004,0583,3,423,46.28,*
63,000,01,010,0004,0584,1,38,4.45, 
63,000,01,010,0004,0584,2,434,50.82, 
63,000,01,010,0004,0584,3,382,44.73,*
63,000,01,010,0004,0585,1,33,3.98, 
63,000,01,010,0004,0585,2,383,46.2, 
63,000,01,010,0004,0585,3,413,49.82,*
63,000,01,010,0004,0586,1,40,4.9, 
63,000,01,010,0004,0586,2,350,42.89, 
63,000,01,010,0004,0586,3,426,52.21,*
63,000,01,010,0005,0587,1,44,4.1, 
63,000,01,010,0005,0587,2,478,44.59, 
63,000,01,010,0005,0587,3,550,51.31,*
63,000,01,010,0005,0588,1,38,3.66, 
63,000,01,010,0005,0588,2,400,38.54, 
63,000,01,010,0005,0588,3,600,57.8,*
63,000,01,010,0005,0589,1,51,5.28, 
63,000,01,010,0005,0589,2,379,39.23, 
63,000,01,010,0005,0589,3,536,55.49,*
63,000,01,010,0006,0590,1,32,3.52, 
63,000,01,010,0006,0590,2,454,50.0, 
63,000,01,010,0006,0590,3,422,46.48,*
63,000,01,010,0006,0591,1,44,5.02, 
63,000,01,010,0006,0591,2,398,45.38, 
63,000,01,010,0006,0591,3,435,49.6,*
63,000,01,010,0006,0592,1,31,4.0, 
63,000,01,010,0006,0592,2,325,41.94, 
63,000,01,010,0006,0592,3,419,54.06,*
63,000,01,010,0006,0593,1,40,5.12, 
63,000,01,010,0006,0593,2,364,46.55, 
63,000,01,010,0006,0593,3,378,48.34,*
63,000,01,010,0007,0594,1,38,4.61, 
63,000,01,010,0007,0594,2,378,45.87, 
63,000,01,010,0007,0594,3,408,49.51,*
63,000,01,010,0007,0595,1,31,3.71, 
63,000,01,010,0007,0595,2,384,45.93, 
63,000,01,010,0007,0595,3,421,50.36,*
63,000,01,010,0007,0596,1,39,4.81, 
63,000,01,010,0007,0596,2,331,40.81, 
63,000,01,010,0007,0596,3,441,54.38,*
63,000,01,010,0007,0597,1,30,3.73, 
63,000,01,010,0007,0597,2,338,42.04, 
63,000,01,010,0007,0597,3,436,54.23,*
63,000,01,010,0008,0598,1,44,4.44, 
